ORDER_KEY,ORDER_STATUS,UNITS,DISCNT_VALUE,COST_FIXED,COST_VARIABLE,REVENUE,TIME_BILL_DT,TIME_PAID_DT,PROD_ITEM_KEY,CUST_NUMBER,CUST_NAME,CUST_BIRTH_DT,CUST_CRDT_RATE,CUST_GENDER,CUST_SEGMENT,CUST_MARITAL_STATUS,CUST_TYPE,ADDR_KEY,ADDRESS1,ADDRESS2,POSTAL_CODE,CITY,STATE_PROV,REGION,COUNTRY_CODE,COUNTRY_NAME,AREA,CHANNEL_NAME,PROD_BRAND,PROD_LOB,PROD_TYPE,PRODUCT,PROD_ITEM_DSC
14929,5-Paid,4,27.47,66.32,400.78,418.57,13-Jan-11,1-Mar-11,1143,223,Sally Andreu,22-Apr-72,600,M,Baby Boomers,Widow,TYPE 5,9602,2803,N Catalina Ave,ZA11571,Pretoria,,EMEA,ZAF,South Africa,Africa,Store,FunPod,Digital,Camera,MPEG4 Camcorder,FinFlex Camera D3200 Green
4163180,2-Fulfilled,8,18.83,94.74,67.58,472.09,8-Dec-12,10-Jan-13,669,3558,Stephanie Malone,23-Mar-90,780,M,Others,Married,TYPE 5,7020,2,New Brooklyn Rd,AR151703,San Miguel De Tucuman,,AMERICAS,ARG,Argentina,South America,Online,FunPod,Games,Portable,PocketFun ES,CompCell Wireless Gamer P300 Black
2488516,4-Billed,6,17.65,99.46,76.75,627.58,30-Dec-11,11-Feb-12,660,7571,Ricky Syfer,20-Sep-66,790,M,Baby Boomers,Married,TYPE 3,8190,28,Aaronwood Ave Ne,AR126705,General Pueyrredn,,AMERICAS,ARG,Argentina,South America,Online,BizTech,Communication,Phones,CompCell RX3,CompCell DeskJet Plus Printer X450Black
944877,9-On Hold,9,4.04,8.06,42.67,108.05,2-Mar-13,21-Apr-13,839,4797,Allison Sanderson,1-Jun-62,742,M,Urban based,Widow,TYPE 1,9924,709,New Market St,AR11684,Abu Dhabi,,EMEA,ARE,United Arab Emirates,Middle East,Store,HomeView,Services,Maintenance,Maintenance,DigiTech USB KeyboardM901 Gold
2640829,9-On Hold,10,106.84,246.2,983.87,2845.42,13-Jun-12,1-Aug-12,1209,6391,Danielle Mcloughlin,29-Mar-92,670,M,Seniors,Widow,TYPE 2,6355,76596,Pleasant Hill Rd,RO11422,Bucharest,,EMEA,ROU,Romania,Europe,Store,FunPod,Games,Portable,PocketFun ES,FinFlex Mini Speaker1/2'' 3mm M500 Grey
274985,2-Fulfilled,9,18.18,76.7,273.8,880.21,18-Feb-11,8-Apr-11,1521,3456,John Mae,9-Sep-70,634,M,Students,Married,TYPE 3,7055,5159,Saint Ann St,IT176425,Rome,,EMEA,ITA,Italy,Europe,Reseller,BizTech,Communication,Phones,V5x Flip Phone,PhoneCell PDA Wifi3.7-inch M250 Black
4198007,2-Fulfilled,13,2.48,29.18,31.19,202.74,28-Dec-12,30-Jan-13,1268,7852,Alex Kutchins,6-Sep-75,624,M,Active Singles,Divorced,TYPE 1,1461,,,HR11415,Zagreb,,EMEA,HRV,Croatia,Europe,Catalog,HomeView,Services,Install,Install,DigiTech Carrying Case E20White
3017318,3-Shipped,12,6.37,123.51,505.44,615.54,14-Jul-12,1-Sep-12,655,631,Anna Calabrese,14-Mar-57,610,F,Active Singles,Married,TYPE 1,696,,,BR131660,San Paulo,,AMERICAS,BRA,Brazil,South America,Catalog,FunPod,Games,Portable,MaxiFun 2000,CompCell Image Formula Handheld F200 Black
3960836,3-Shipped,8,57.83,283.96,1080.36,1465.19,27-Oct-12,29-Nov-12,1105,5583,Anna Jane,14-Oct-60,693,M,Active Singles,Divorced,TYPE 1,13329,970,Waterloo Rd,CO101655,Bogot,,AMERICAS,COL,Colombia,Central,Online,FunPod,Digital,Camera,7 Megapixel Digital Camera,DigiTech Camera SLR Alpha C600Orange
288736,2-Fulfilled,9,62.96,166.98,198.41,958.08,4-Feb-11,24-Mar-11,1531,27,Robin Fisher,8-Apr-74,695,M,Active Singles,Married,TYPE 2,5066,8202,Cornwall Rd,GR11412,Athens,,EMEA,GRC,Greece,Europe,Online,BizTech,Communication,Phones,CompCell RX3,PhoneCell GPS Handheld  4.7 inch L650 Black
